TransMorph_ncc_1_diffusion_1_official
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec,30-structures dice,ncc_loss,mi_loss,ssim_loss
p_10,0.9739648715620004,0.8528503345750362,0.6999532523799116,0.8337935424629389,0.27232142553212696,0.8076622569691347,0.8388341600489799,0.8626822796825662,0.8371647498123088,0.7126060722701093,0.7165532861764845,0.7601246076319135,0.8473652319088958,0.8909235263795592,0.7873458191099294,0.8271534488672178,0.6837229788984429,0.5898174775233672,0.8460982651317754,0.0,0.46153845822042805,0.8468598415891153,0.7038896731033296,0.8520658038100805,0.4366899258555341,0.8329771795718303,0.8660359682232227,0.8996598633991376,0.8459051712743735,0.7298782874657653,0.7195880696855008,0.811292116957106,0.7943085352114115,0.6556776496732816,0.8354908808131051,0.5544553906479811,0.4143646380223437,0.0,0.0,0.0,0.23826714514720645,0.0,0.0,0.0,0.0,0.0,0.01644069126674107,0.7806229433217318,-0.31686365604400635,-0.07702665030956268,0.062453269958496094
p_11,0.9718293319081185,0.8464316364450376,0.7341475450189399,0.8978186728981987,0.6504702143380078,0.791985427810569,0.8260229950134955,0.8648514846133345,0.8471337569625693,0.6239984166346836,0.6485225488633423,0.79545454244146,0.7390219542439571,0.860459432864846,0.8440769145720067,0.8071843613122441,0.7168966776691656,0.5598491935923733,0.83463766558122,0.0,0.4895461474270977,0.8234087549981072,0.7017970817539901,0.905652227290617,0.7222570487632787,0.7862532535548936,0.8458259324418425,0.8636659289295786,0.8411785410949895,0.6173940078600664,0.7146556169998559,0.8575345139943851,0.8440786446180187,0.6630350142954474,0.8557809321949483,0.2580644745057299,0.5719267629820106,0.0,0.0,0.0,0.2804347795604915,0.0,0.0,0.0,0.0,0.0,0.014215814499627976,0.7799114126361825,-0.31294912099838257,-0.08381454646587372,0.059825003147125244
p_12,0.9733163025053503,0.8394004208698034,0.6990259938336338,0.8686824419848516,0.4419753031854901,0.8134571592593969,0.8227446991091761,0.8785436505221532,0.824219216436258,0.6354204801227628,0.7047158386826703,0.7615866356509952,0.7732190227123515,0.8973607936178501,0.8339920940375573,0.7947368397814711,0.6984126953332773,0.5215004526852658,0.8111913680065911,0.032258059313216236,0.44046799421563665,0.8280524796120168,0.6781182135237993,0.848133454964839,0.3597484231478186,0.80841079306732,0.8489231909373515,0.8469176209236674,0.8216679476742469,0.712763595213359,0.7376660324059156,0.8331249390851929,0.8221670779647998,0.658749005077205,0.8353471588500025,0.0,0.41517856833944516,0.0,0.006865774092462155,0.0,0.3230403762109219,0.0,0.0,0.0,0.0,0.0,0.012274315243675595,0.7711216138912796,-0.3419807553291321,-0.07438462972640991,0.06128275394439697
p_13,0.9802982715135745,0.8587653007968001,0.7420289854959383,0.8523835611767762,0.45081966597240897,0.800644361635528,0.848341065841586,0.8659303488527558,0.84587813522271,0.721572684199097,0.6625985236140388,0.7223113926040055,0.749934944704827,0.8860603800063249,0.8388912037944027,0.8257510705987093,0.6962576122878258,0.5734265684141034,0.8399133130689594,0.5161289767603251,0.3024054948178065,0.8560369148538272,0.7395568201033021,0.82430284581397,0.6653252805813193,0.7936044351177871,0.8518330288001983,0.8868058976666087,0.8534644184767505,0.6717557244582817,0.7361429208975196,0.8365197823979964,0.8308934860401477,0.5815861387275648,0.8430315064405038,0.2033897960356278,0.3742911117741861,0.0,0.004140786706617115,0.0,0.2726347886812331,0.0,0.0,0.0,0.0,0.0,0.008303106398809525,0.7719302423853057,-0.2984195947647095,-0.07336754351854324,0.05656754970550537
p_14,0.9781298273987625,0.8483402126187478,0.7387174617613682,0.8211414785496105,0.5749999944711539,0.7724627467385727,0.8219555906064849,0.8629102839918434,0.8092830276036782,0.6919840093709405,0.6590330772034781,0.7461574254953077,0.6523822930578452,0.8780243673630579,0.8211796516995947,0.8025243207927312,0.7156084632420354,0.6003372630662963,0.8380380748025527,0.5957446174739769,0.3280542949315125,0.83945906094269,0.7362374200589743,0.7903211910872977,0.5258323705415342,0.7977591034286357,0.8479260344030766,0.8607608992720017,0.82119900193992,0.7115186475257381,0.7117544279716634,0.838053882524372,0.8528513216577105,0.6485188098597373,0.8437884370860173,0.2372880953748991,0.2951871626183191,0.0,0.0,0.0,0.3287356284053376,0.0,0.0,0.0,0.0,0.0,0.01359311058407738,0.7584871123448592,-0.2914295792579651,-0.0765439122915268,0.059382498264312744
p_15,0.9670941833775114,0.841038533802468,0.6543199000056097,0.922736010005677,0.6247491597006746,0.816252106919788,0.8263276425117089,0.8739657489102908,0.844331370894687,0.7246842210183213,0.7089593747663901,0.8522055460386414,0.8608769990706279,0.8724886792583885,0.842093947283571,0.836296747896086,0.706618026541855,0.5916760338394147,0.8417116734091071,0.7894736149584548,0.4696261654811556,0.8204612929970685,0.6478899153258548,0.9315856775508129,0.6149936428526452,0.8198406037402682,0.8118730162884915,0.860672336397548,0.8468203835411656,0.7139684646746963,0.7423489386807508,0.8338111916387266,0.8351586609515341,0.5714285651004589,0.8582422024521646,0.19999996666667222,0.46017698900709364,0.0,0.007299270019713358,0.0,0.38480391685289317,0.0,0.0,0.0,0.0,0.0,0.01848391578311012,0.7892460789020183,-0.3098472058773041,-0.0874876156449318,0.057721495628356934
p_16,0.9728465859659157,0.8197842580934687,0.6952340626171133,0.8931945443357057,0.579382990373341,0.7910043622346175,0.8089541255956971,0.829643548752338,0.7870170892043414,0.5926019754337447,0.6317783551224762,0.8107930213530996,0.7899446084577235,0.826016023186305,0.8473372772708706,0.8306071504557605,0.7587995525794755,0.5730769175665681,0.8061743222052183,0.3678160496763161,0.37021046751100667,0.8118808539796292,0.691860335226827,0.8823908279091456,0.4153543266205283,0.7758596423568372,0.8194202898034393,0.8341880336598999,0.6740729610057454,0.619155925424367,0.7092311766181666,0.8396004692130822,0.8101876653882368,0.6852742956181492,0.8372946674889469,0.09638553055596016,0.43589743366206446,0.0,0.0032520324674466267,0.0,0.4577656613383425,0.0,0.0,0.0,0.0,0.0,0.015525890531994048,0.754337834204845,-0.30159926414489746,-0.07919611781835556,0.06658059358596802
p_17,0.9731542473167007,0.8396376431304737,0.7042950770829978,0.7776876921368101,0.5997375288731134,0.821415124916188,0.8507247695649924,0.7999375938426659,0.7519151434862521,0.6070558507560626,0.568655206130121,0.8151915876053184,0.8238846011004956,0.8533329573244248,0.8250619201678178,0.7952329343548583,0.6886613549918037,0.600272847201413,0.7641879387612373,0.15873013353489943,0.33875597761956006,0.826379685255054,0.7000606460484922,0.7954363239004402,0.3801020359680863,0.8081792532331881,0.8574303663280464,0.7880687340386531,0.7204489644330072,0.5323602837215669,0.5567720994388239,0.8201171322672519,0.7936575036074894,0.5585241694750371,0.79918032726231,0.07999998400000319,0.39621152015618377,0.0,0.004489337772285771,0.0,0.37762237322118447,0.0,0.0,0.0,0.0,0.0,0.01397341773623512,0.7339978737554193,-0.3142453134059906,-0.08024154603481293,0.06426012516021729
p_18,0.9766254526946176,0.8487731794277391,0.7227964065407929,0.6858526583907492,0.3179487146877055,0.8301112697115338,0.8420474701662551,0.8510854031197468,0.7622059185906832,0.71135691741074,0.7083704347542956,0.7194179139635383,0.7979201115624673,0.895562732413192,0.8106964209208384,0.8342710976105598,0.6907555106018042,0.6238805923591001,0.8359467199157421,0.4578312701408108,0.2019002351318262,0.8504787729724709,0.7302751701938959,0.7759533416097323,0.49955236795387314,0.8435575554110736,0.8563887100470493,0.8942353246147747,0.8031062114189552,0.6511887066760877,0.7146549995731657,0.8208416102394424,0.8225147507432712,0.669112247475332,0.8516891884698571,0.18604648999459417,0.2734693849645981,0.0,0.0,0.0,0.19310344605628224,0.0,0.0,0.0,0.0,0.0,0.011958966936383928,0.754580804238896,-0.34567487239837646,-0.07972187548875809,0.06045818328857422
p_19,0.9722029727832339,0.8195785449118671,0.7022106777328396,0.8358994092661667,0.37942121779827204,0.778578784609494,0.7334681997778864,0.8330948969759806,0.7822736020062296,0.5712924352932788,0.636338570067994,0.8089887609105433,0.7083739028520597,0.7986826878863048,0.7916370640498964,0.7894283229260892,0.7516077140208692,0.50821467132295,0.8116794034767005,0.0,0.2591431529870099,0.8097103274208497,0.6927226178463198,0.8447785447346753,0.3208851961150042,0.7840146057847621,0.7115780245380613,0.8729658124933987,0.7862439263791308,0.5659788860772806,0.6819862633861958,0.808854384380136,0.7546848360173627,0.6142259362826281,0.8276132566899262,0.0,0.4308176066759622,0.0,0.003062787089390703,0.0,0.15670102769688604,0.0,0.0,0.0,0.0,0.0,0.01742030552455357,0.7328075074058424,-0.2512566149234772,-0.07483278959989548,0.06984978914260864
